id,date,Home,Away,round,result,Home_Points_Before,home_halftime_score,home_fulltime_score,home_extratime_score,home_penalty_score,Away_Points_Before,away_halftime_score,away_fulltime_score,away_extratime_score,away_penalty_score
816361,2022-02-07 00:00:00+00:00,Atlas,Santos Laguna,Clausura - 4,h,44,2,2,,,31,0,1,,
816362,2022-02-07 02:00:00+00:00,Tigres UANL,Mazatlán,Clausura - 4,h,38,2,4,,,20,0,3,,
816363,2022-02-08 03:05:00+00:00,Leon,Cruz Azul,Clausura - 4,a,43,0,0,,,30,1,1,,
816358,2022-02-10 01:00:00+00:00,FC Juarez,Guadalajara Chivas,Clausura - 4,a,22,1,1,,,27,1,3,,
816365,2022-02-12 01:00:00+00:00,Mazatlán,Club Tijuana,Clausura - 5,h,20,1,2,,,19,0,0,,
816366,2022-02-12 03:00:00+00:00,Puebla,Atlas,Clausura - 5,d,38,0,1,,,47,0,1,,
816372,2022-02-12 23:00:00+00:00,Guadalajara Chivas,Tigres UANL,Clausura - 5,a,30,0,1,,,41,2,3,,
816367,2022-02-12 23:00:00+00:00,Atletico San Luis,Toluca,Clausura - 5,a,23,0,0,,,30,1,1,,
816368,2022-02-13 01:00:00+00:00,Cruz Azul,Necaxa,Clausura - 5,a,33,1,1,,,23,0,2,,
816369,2022-02-13 03:00:00+00:00,Santos Laguna,Club America,Clausura - 5,a,31,2,2,,,37,2,3,,
816370,2022-02-13 18:00:00+00:00,U.N.A.M. - Pumas,Leon,Clausura - 5,h,37,2,2,,,43,1,1,,
816371,2022-02-15 03:00:00+00:00,Pachuca,Club Queretaro,Clausura - 5,d,27,2,2,,,17,1,2,,
816346,2022-02-17 01:00:00+00:00,Mazatlán,Club America,Clausura - 2,h,23,2,2,,,40,0,1,,
816374,2022-02-19 01:00:00+00:00,Puebla,Monterrey,Clausura - 6,h,39,1,1,,,32,0,0,,
816375,2022-02-19 03:00:00+00:00,FC Juarez,Santos Laguna,Clausura - 6,d,22,0,0,,,31,0,0,,
816376,2022-02-19 03:06:00+00:00,Club Tijuana,Necaxa,Clausura - 6,d,19,0,1,,,26,0,1,,
816380,2022-02-19 23:00:00+00:00,Club Queretaro,Mazatlán,Clausura - 6,h,18,0,2,,,26,0,0,,
816377,2022-02-20 01:00:00+00:00,Tigres UANL,Atletico San Luis,Clausura - 6,h,44,0,2,,,23,0,1,,
816379,2022-02-20 03:00:00+00:00,Leon,Guadalajara Chivas,Clausura - 6,h,43,1,2,,,30,0,1,,
